city,date,PM2.5,PM10,AQI,AQI_Bucket
Ahmedabad,01-01-15,,,,
Ahmedabad,02-01-15,,,,
Ahmedabad,03-01-15,,,,
Ahmedabad,04-01-15,,,,
Ahmedabad,05-01-15,,,,
Ahmedabad,06-01-15,,,,
Ahmedabad,07-01-15,,,,
Ahmedabad,08-01-15,,,,
Ahmedabad,09-01-15,,,,
Ahmedabad,10-01-15,,,,
Ahmedabad,11-01-15,,,,
Ahmedabad,12-01-15,,,,
Ahmedabad,13-01-15,,,,
Ahmedabad,14-01-15,,,,
Ahmedabad,15-01-15,,,,
Ahmedabad,16-01-15,,,,
Ahmedabad,17-01-15,,,,
Ahmedabad,18-01-15,,,,
Ahmedabad,19-01-15,,,,
Ahmedabad,20-01-15,,,,
Ahmedabad,21-01-15,,,,
Ahmedabad,22-01-15,,,,
Ahmedabad,23-01-15,,,,
Ahmedabad,24-01-15,,,,
Ahmedabad,25-01-15,,,,
Ahmedabad,26-01-15,,,,
Ahmedabad,27-01-15,,,,
Ahmedabad,28-01-15,73.24,,,
Ahmedabad,29-01-15,83.13,,209,Poor
Ahmedabad,30-01-15,79.84,,328,Very Poor
Ahmedabad,31-01-15,94.52,,514,Severe
Ahmedabad,01-02-15,135.99,,782,Severe
Ahmedabad,02-02-15,178.33,,914,Severe
Ahmedabad,03-02-15,139.7,,660,Severe
Ahmedabad,04-02-15,80.65,,294,Poor
Ahmedabad,05-02-15,58.36,,149,Moderate
Ahmedabad,06-02-15,79.29,,190,Moderate
Ahmedabad,07-02-15,88.7,,247,Poor
Ahmedabad,08-02-15,74.28,,379,Very Poor
Ahmedabad,09-02-15,113.93,,341,Very Poor
Ahmedabad,10-02-15,105.39,,256,Poor
Ahmedabad,11-02-15,66.52,,388,Very Poor
Ahmedabad,12-02-15,65.04,,288,Poor
Ahmedabad,13-02-15,103.36,,510,Severe
Ahmedabad,14-02-15,177.33,,761,Severe
Ahmedabad,15-02-15,113.25,,475,Severe
Ahmedabad,16-02-15,99.7,,536,Severe
Ahmedabad,17-02-15,80.61,,479,Severe
Ahmedabad,18-02-15,100.79,,592,Severe
Ahmedabad,19-02-15,107.99,,427,Severe
Ahmedabad,20-02-15,140.29,,588,Severe
Ahmedabad,21-02-15,239.96,,1141,Severe
Ahmedabad,22-02-15,142.96,,669,Severe
